algorithm_name,steps_forward,steps_backward,total_steps,score,total_time,normal_total_time,external_time,grid_size
JMCMFSolver,60.0,0.0,60.0,1.9916666666666665,0.008304879995994269,0.008304879995994269,0.0,"10,12"
JGuidedJDFSSolver_JDFSSolver,60.0,0.0,60.0,3.125,0.018065871917642654,0.0003000679099932313,0.017765804007649422,"10,12"
JGuidedJDFSSolver_JMCMFSolver,60.0,0.0,60.0,3.108333333333333,0.017792312912642955,0.00030208597425371406,0.017490226938389242,"10,12"
JDFSSolver,70.0,0.0,70.0,2.557142857142857,0.00021373000461608172,0.00021373000461608172,0.0,"10,14"
JMCMFSolver,70.0,0.0,70.0,2.257142857142857,0.011479067995678634,0.011479067995678634,0.0,"10,14"
JGuidedJDFSSolver_JDFSSolver,70.0,0.0,70.0,3.742857142857143,0.02127655101707205,0.00036876305704936386,0.020907787960022687,"10,14"
JGuidedJDFSSolver_JMCMFSolver,70.0,0.0,70.0,3.4857142857142858,0.020956872031092644,0.0003694070060737431,0.0205874650250189,"10,14"
JDFSSolver,85.0,5.0,90.0,2.53125,0.000346385994926095,0.000346385994926095,0.0,"10,16"
JMCMFSolver,80.0,0.0,80.0,1.91875,0.015334341994021087,0.015334341994021087,0.0,"10,16"
JGuidedJDFSSolver_JDFSSolver,80.0,0.0,80.0,3.04375,0.02556475294753909,0.00047237090766429903,0.02509238203987479,"10,16"
JGuidedJDFSSolver_JMCMFSolver,80.0,0.0,80.0,3.20625,0.025562302889302373,0.0004669167962856591,0.025095386093016713,"10,16"
JDFSSolver,52.0,28.0,80.0,3.25,0.00011262999149039388,0.00011262999149039388,0.0,"12,4"
JMCMFSolver,24.0,0.0,24.0,2.0833333333333335,0.0013168539991602302,0.0013168539991602302,0.0,"12,4"
JGuidedJDFSSolver_JDFSSolver,24.0,0.0,24.0,3.541666666666666,0.005910305010620505,8.790898136794567e-05,0.005822396029252559,"12,4"
JGuidedJDFSSolver_JMCMFSolver,24.0,0.0,24.0,3.541666666666666,0.005911922019440681,8.713903138414025e-05,0.005824782988056541,"12,4"
JDFSSolver,36.0,0.0,36.0,2.6944444444444446,7.427600212395191e-05,7.427600212395191e-05,0.0,"12,6"
JMCMFSolver,36.0,0.0,36.0,1.9722222222222223,0.00293362200492993,0.00293362200492993,0.0,"12,6"
JGuidedJDFSSolver_JDFSSolver,36.0,0.0,36.0,3.083333333333334,0.01130322391167283,0.00014758493518456816,0.011155638976488262,"12,6"
JGuidedJDFSSolver_JMCMFSolver,36.0,0.0,36.0,3.2777777777777777,0.009765668017789721,0.000147230988368392,0.009618437029421329,"12,6"
JDFSSolver,48.0,0.0,48.0,2.6875,0.00011338099837303161,0.00011338099837303161,0.0,"12,8"
JMCMFSolver,48.0,0.0,48.0,2.375,0.005165548995137215,0.005165548995137215,0.0,"12,8"
JGuidedJDFSSolver_JDFSSolver,48.0,0.0,48.0,3.229166666666666,0.013145145082380622,0.00021504914620891215,0.01293009593617171,"12,8"
JGuidedJDFSSolver_JMCMFSolver,48.0,0.0,48.0,3.1875,0.013223862999584527,0.00021468297112733125,0.013009180028457195,"12,8"
JDFSSolver,91.0,31.0,122.0,2.3333333333333335,0.0003230820153839886,0.0003230820153839886,0.0,"12,10"
JMCMFSolver,60.0,0.0,60.0,2.05,0.008680464013013988,0.008680464013013988,0.0,"12,10"
JGuidedJDFSSolver_JDFSSolver,60.0,0.0,60.0,3.316666666666667,0.017432609845418483,0.0002972389804199338,0.01713537086499855,"12,10"
JGuidedJDFSSolver_JMCMFSolver,60.0,0.0,60.0,3.3833333333333333,0.017525470172986387,0.0002956001739948988,0.01722986999899149,"12,10"
JDFSSolver,153.0,81.0,234.0,2.375,0.0006696690083481372,0.0006696690083481372,0.0,"12,12"
JMCMFSolver,72.0,0.0,72.0,2.0694444444444446,0.011879899983759969,0.011879899983759969,0.0,"12,12"
JGuidedJDFSSolver_JDFSSolver,72.0,0.0,72.0,3.5555555555555554,0.021600939964409916,0.000381293932441622,0.021219646031968294,"12,12"
JGuidedJDFSSolver_JMCMFSolver,72.0,0.0,72.0,3.5,0.02169798720162362,0.00038042199332267046,0.02131756520830095,"12,12"
JDFSSolver,84.0,0.0,84.0,2.5773809523809526,0.00032091799192130566,0.00032091799192130566,0.0,"12,14"
JMCMFSolver,84.0,0.0,84.0,2.0297619047619047,0.016443767007440328,0.016443767007440328,0.0,"12,14"
JGuidedJDFSSolver_JDFSSolver,84.0,0.0,84.0,3.1964285714285716,0.027313607947435228,0.0005107269948348403,0.02680288095260039,"12,14"
JGuidedJDFSSolver_JMCMFSolver,84.0,0.0,84.0,2.886904761904762,0.026920656163711098,0.0004973860317841173,0.026423270131926982,"12,14"
JDFSSolver,96.0,0.0,96.0,2.6875,0.00041027198545634747,0.00041027198545634747,0.0,"12,16"
JMCMFSolver,96.0,0.0,96.0,2.3958333333333335,0.022152233007363974,0.022152233007363974,0.0,"12,16"
JGuidedJDFSSolver_JDFSSolver,96.0,0.0,96.0,3.458333333333334,0.03375884502660483,0.0006167519395239652,0.03314209308708087,"12,16"
JGuidedJDFSSolver_JMCMFSolver,96.0,0.0,96.0,3.5625,0.03168980515096337,0.0006080130045302213,0.031081792146433144,"12,16"
JDFSSolver,28.0,0.0,28.0,2.0535714285714284,5.120099289342761e-05,5.120099289342761e-05,0.0,"14,4"
JMCMFSolver,28.0,0.0,28.0,1.9107142857142858,0.0017899509961716831,0.0017899509961716831,0.0,"14,4"
JGuidedJDFSSolver_JDFSSolver,28.0,0.0,28.0,2.9464285714285716,0.007423283967655152,0.00011287994449958205,0.00731040402315557,"14,4"
JGuidedJDFSSolver_JMCMFSolver,28.0,0.0,28.0,2.9464285714285716,0.007417163951322437,0.00011147499084472656,0.00730568896047771,"14,4"
JDFSSolver,42.0,0.0,42.0,2.392857142857143,9.367802646011114e-05,9.367802646011114e-05,0.0,"14,6"
JMCMFSolver,42.0,0.0,42.0,2.369047619047619,0.004425691997166723,0.004425691997166723,0.0,"14,6"
JGuidedJDFSSolver_JDFSSolver,42.0,0.0,42.0,2.869047619047619,0.011915419120341539,0.0001863800664432347,0.011729039053898304,"14,6"
JGuidedJDFSSolver_JMCMFSolver,42.0,0.0,42.0,2.892857142857143,0.011781635931693017,0.00018381590489298106,0.011597820026800036,"14,6"
JDFSSolver,56.0,0.0,56.0,2.4285714285714284,0.00014682101551443338,0.00014682101551443338,0.0,"14,8"
JMCMFSolver,56.0,0.0,56.0,1.9285714285714286,0.006945544010959565,0.006945544010959565,0.0,"14,8"
JGuidedJDFSSolver_JDFSSolver,56.0,0.0,56.0,3.625,0.01595612788805738,0.00026887803338468077,0.0156872498546727,"14,8"
JGuidedJDFSSolver_JMCMFSolver,56.0,0.0,56.0,3.482142857142857,0.015996189017314463,0.0002702140621840954,0.015725974955130367,"14,8"
JDFSSolver,91.0,21.0,112.0,2.6642857142857137,0.0004395709908567369,0.0004395709908567369,0.0,"14,10"
JMCMFSolver,70.0,0.0,70.0,2.05,0.011500676989089697,0.011500676989089697,0.0,"14,10"
JGuidedJDFSSolver_JDFSSolver,70.0,0.0,70.0,3.507142857142857,0.021039790010545404,0.0003696970944292843,0.020670092916116118,"14,10"
JGuidedJDFSSolver_JMCMFSolver,70.0,0.0,70.0,3.25,0.02112150498200208,0.0003687839768826962,0.020752721005119382,"14,10"
JDFSSolver,84.0,0.0,84.0,3.017857142857143,0.0003177779889665544,0.0003177779889665544,0.0,"14,12"
JMCMFSolver,84.0,0.0,84.0,2.1011904761904763,0.0167623500037007,0.0167623500037007,0.0,"14,12"
JGuidedJDFSSolver_JDFSSolver,84.0,0.0,84.0,3.6726190476190474,0.02694153705611825,0.0005045409873127937,0.026436996068805455,"14,12"
JGuidedJDFSSolver_JMCMFSolver,84.0,0.0,84.0,3.732142857142857,0.02672429290600121,0.0004990199091844261,0.026225272996816783,"14,12"
JDFSSolver,135.0,37.0,172.0,2.8316326530612246,0.0028166410024277866,0.0028166410024277866,0.0,"14,14"
JMCMFSolver,98.0,0.0,98.0,2.107142857142857,0.022736981995403766,0.022736981995403766,0.0,"14,14"
JGuidedJDFSSolver_JDFSSolver,98.0,0.0,98.0,3.270408163265306,0.03259159604785963,0.000626074094325304,0.03196552195353433,"14,14"
JGuidedJDFSSolver_JMCMFSolver,98.0,0.0,98.0,3.454081632653061,0.032592536280862984,0.0006287920777685941,0.03196374420309439,"14,14"
JDFSSolver,191.0,79.0,270.0,2.736607142857143,0.001184538989327848,0.001184538989327848,0.0,"14,16"
JMCMFSolver,112.0,0.0,112.0,2.0669642857142856,0.0300381269864738,0.0300381269864738,0.0,"14,16"
JGuidedJDFSSolver_JDFSSolver,112.0,0.0,112.0,3.3973214285714284,0.0381221950892359,0.0007667229231446981,0.037355472166091204,"14,16"
JGuidedJDFSSolver_JMCMFSolver,112.0,0.0,112.0,3.59375,0.03809965500375256,0.0007598089147359133,0.037339846089016644,"14,16"
JDFSSolver,32.0,0.0,32.0,2.53125,8.731100475415587e-05,8.731100475415587e-05,0.0,"16,4"
JMCMFSolver,32.0,0.0,32.0,2.34375,0.002358962984289974,0.002358962984289974,0.0,"16,4"
JGuidedJDFSSolver_JDFSSolver,32.0,0.0,32.0,3.53125,0.00857219398021698,0.00012780297081917523,0.008444391009397804,"16,4"
JGuidedJDFSSolver_JMCMFSolver,32.0,0.0,32.0,3.53125,0.008361497074365617,0.0001237979787401855,0.00823769909562543,"16,4"
JDFSSolver,55.0,7.0,62.0,2.3020833333333335,0.00014967801049351693,0.00014967801049351693,0.0,"16,6"
JMCMFSolver,48.0,0.0,48.0,1.96875,0.005482076006010175,0.005482076006010175,0.0,"16,6"
JGuidedJDFSSolver_JDFSSolver,48.0,0.0,48.0,3.84375,0.013865732746198773,0.00022441990673542023,0.013641312839463354,"16,6"
JGuidedJDFSSolver_JMCMFSolver,48.0,0.0,48.0,3.947916666666666,0.013771178037859499,0.00022159903543069958,0.0135495790024288,"16,6"
JDFSSolver,92.0,28.0,120.0,3.1171875,0.0003211229923181236,0.0003211229923181236,0.0,"16,8"
JMCMFSolver,64.0,0.0,64.0,2.2578125,0.009297238010913134,0.009297238010913134,0.0,"16,8"
JGuidedJDFSSolver_JDFSSolver,64.0,0.0,64.0,3.6015625,0.01850634292233735,0.00032231892459094524,0.018184023997746407,"16,8"
JGuidedJDFSSolver_JMCMFSolver,64.0,0.0,64.0,3.5859375,0.018380074899178,0.00031997701385989786,0.0180600978853181,"16,8"
JDFSSolver,80.0,0.0,80.0,2.2375,0.0004189099930226803,0.0004189099930226803,0.0,"16,10"
JMCMFSolver,80.0,0.0,80.0,1.825,0.014789234003983439,0.014789234003983439,0.0,"16,10"
JGuidedJDFSSolver_JDFSSolver,80.0,0.0,80.0,3.575,0.025140102966688574,0.0004681280511431396,0.024671974915545434,"16,10"
JGuidedJDFSSolver_JMCMFSolver,80.0,0.0,80.0,3.575,0.025063799852505324,0.0004691937658935785,0.024594606086611747,"16,10"
JDFSSolver,102.0,6.0,108.0,2.265625,0.00045533900149166587,0.00045533900149166587,0.0,"16,12"
JMCMFSolver,96.0,0.0,96.0,1.869791666666667,0.02061789599014446,0.02061789599014446,0.0,"16,12"
JGuidedJDFSSolver_JDFSSolver,96.0,0.0,96.0,3.088541666666666,0.0337422326952219,0.0006119188643060624,0.03313031383091584,"16,12"
JGuidedJDFSSolver_JMCMFSolver,96.0,0.0,96.0,2.921875,0.03113604013575241,0.0006070730462670326,0.030528967089485378,"16,12"
JDFSSolver,288.0,176.0,464.0,2.5669642857142856,0.0019430389883928001,0.0019430389883928001,0.0,"16,14"
JMCMFSolver,112.0,0.0,112.0,1.8973214285714286,0.028270860011689367,0.028270860011689367,0.0,"16,14"
JGuidedJDFSSolver_JDFSSolver,112.0,0.0,112.0,3.21875,0.03767306668683886,0.0007668287446722388,0.036906237942166624,"16,14"
JGuidedJDFSSolver_JMCMFSolver,112.0,0.0,112.0,3.3526785714285716,0.03778397116810084,0.0007545990287326276,0.03702937213936821,"16,14"
JDFSSolver,128.0,0.0,128.0,2.32421875,0.000737232977990061,0.000737232977990061,0.0,"16,16"
JMCMFSolver,128.0,0.0,128.0,1.89453125,0.04291376301087439,0.04291376301087439,0.0,"16,16"
JGuidedJDFSSolver_JDFSSolver,128.0,0.0,128.0,3.41796875,0.05104719401570037,0.0010371820302680136,0.050010011985432354,"16,16"
JGuidedJDFSSolver_JMCMFSolver,128.0,0.0,128.0,3.27734375,0.05118180997204035,0.0010445640538819135,0.05013724591815844,"16,16"
